Route	page	Line of route	Line of Route / Sector Description	W6a	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Kent-Sussex-Wessex	1012	SO180	Paddock Wood – Maidstone West	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO210	Appledore – Lydd Town (Goods Line)	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO220	Ashford – Ramsgate (via Canterbury West)	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO220	Minster West Jn – Minster South Jn	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO230	Folkestone East – Folkestone Harbour	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO240	Buckland Jn – Minster East Jn	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Battersea Pier Jn – Longhedge 'A' Jn [ 1m 58ch ] incl. Battersea Reversible Line	Y *	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Longhedge 'B' Jn [ 1m 63ch ] – Pouparts Jn	Y *	Y	N	N	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Factory Jn – West London Jn, Willesden via Longhedge 'A' Jn (SW220)	Y *	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Longhedge 'C' Jn – Ludgate GW Jn via Lavender Hill Jn, former site of (SW100)	Y	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Ludgate GW Jn – Latchmere No.2 Jn (SW100)	Y	Y	Y	Y	N	N	N	N	
Kent-Sussex-Wessex	1012	SO250	Latchmere Jn No 1 – Falcon Jn (via Clapham Jn plat 16 & 17)	Y	Y	Y	Y	N	N	N	N	
