Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0726	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	Y	Y	N	N	N	N	Y	Y	N	R1	R1	N
Western	0726	GW500	SWY	Change of ELR – Heywood Road Jn (Change of ELR)	81	19	94	44	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW500	WES	Heywood Road Jn (Change of ELR) – Fairwood Jn (Change of ELR) (via Westbury Avoiding Lines)	94	44	97	02	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW500	WEY	Fairwood Jn (Change of ELR) – Clink Road Jn (Change of ELR)	111	18	114	44	Y	Y	N	Y	N	N	Y	Y	N	Y	Y	N
Western	0726	GW500	FRA	Clink Road Jn (Change of ELR) – Blatchbridge Jn (Change of ELR)	114	44	116	37	Y	Y	N	Y	N	N	Y	Y	N	Y	Y	N
Western	0726	GW500	WEY	Blatchbridge Jn (Change of ELR) – Castle Cary Jn	116	52	129	50	Y	Y	N	Y	N	N	Y	Y	N	Y	Y	N
Western	0726	GW500	WEY	Castle Cary Jn – Route Boundary (SW175) (Yeovil Pen Mill Jn)	129	50	130	00	N	Y	N	Y	N	N	N	Y	N	Y	Y	N
Western	0726	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	N	Y	N	N	N	N	Y	Y	N	R1	R1	N
Western	0726	GW5001	SAL	Route Boundary (SW170) (Wilton Jn) – Westbury South Jn	115	40	110	07	N	Y	N	Y	N	N	N	N	N	N	N	N
Western	0726	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	R1	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	Y	Y	N	N	N	N	Y	R1	N	Y	Y	N
Western	0726	GW520	WYL	Westbury East Loop Jn – Hawkeridge Jn	94	77	95	32	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW528	BRL	North Somerset Jn – Bristol West Jn via St Philips Marsh	0	00	1	08	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW530	BLL	Feeder Bridge Jn – Dr Day’s Jn (Rhubarb Loop)	117	50	117	73	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	Y	Y	N	Y	N	N	Y	Y	N	Y	Y	N
Western	0726	GW5401	PAC	Filton West Jn No.1 – Patchway Jn No.1	0	40	0	00	Y	Y	N	N	N	N	N	Y	N	Y	Y	N
Western	0726	GW548	POD/ PBY	Parson Street Jn – Network Rail boundary (BPC)	120	28	126	34	N	N	N	N	N	N	N	N	N	N	N	N
Western	0726	GW560	SWY	Heywood Road Jn – Westbury North Jn	94	45	95	33	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
Western	0726	GW560	WEY	Westbury North Jn – Fairwood Jn via Westbury	109	49	111	18	R1	R1	N	R1	N	N	Y	R1	N	R1	R1	N
Western	0726	GW570	WEY	Clink Road Jn – Blatchbridge Jn via Frome	114	44	116	52	Y	Y	N	N	N	N	Y	Y	N	Y	Y	N
