Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notesooooooooooooooooooooo
Western	0728	GW500	BKE	Westbury Line Jn – Oxford Road Jn	36	17	36	67	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R1
Western	0728	GW500	BKE	Oxford Road Jn – Southcote Jn	36	67	37	62	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R2
Western	0728	GW500	BKE	Southcote Jn – Route Boundary (SW125) (Basingstoke)	37	62	37	76	Y	N	Y	N	N	N	Y	N	Y	Y	N	R3
Western	0728	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	Y	N	N	N	N	Y	Y	N	R1	R1	N	R4 100mph on the Up Westbury line from Newbury Racecourse to Midgham
Western	0728	GW500	SWY	Change of ELR – Heywood Road Jn (Change of ELR)	81	19	94	44	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW500	WES	Heywood Road Jn (Change of ELR) – Fairwood Jn (Change of ELR) (via Westbury Avoiding Lines)	94	44	97	02	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW500	WEY	Fairwood Jn (Change of ELR) – Clink Road Jn (Change of ELR)	111	18	114	44	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW500	FRA	Clink Road Jn (Change of ELR) – Blatchbridge Jn (Change of ELR)	114	44	116	37	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW500	WEY	Blatchbridge Jn (Change of ELR) – Castle Cary Jn	116	52	129	50	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW500	WEY	Castle Cary Jn – Route Boundary (SW175) (Yeovil Pen Mill Jn)	129	50	130	00	Y	N	Y	N	N	N	Y	N	Y	Y	N	
Western	0728	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	Y	N	N	N	N	Y	Y	N	R1	R1	N	R1 90mph between Somerton Tunnel and Cogload Jn
Western	0728	GW5001	SAL	Route Boundary (SW170) (Wilton Jn) – Westbury South Jn	115	40	110	07	Y	N	Y	N	N	N	N	N	N	N	N	
Western	0728	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	Y	N	N	N	N	Y	R1	N	Y	Y	N	R1 30mph on the down line through Dundas Aqueduct (03m 12ch)
Western	0728	GW520	WYL	Westbury East Loop Jn – Hawkeridge Jn	94	77	95	32	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW528	BRL	North Somerset Jn – Bristol West Jn via St Philips Marsh	0	00	1	08	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW530	BLL	Feeder Bridge Jn – Dr Day’s Jn (Rhubarb Loop)	117	50	117	73	Y	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	Y	N	Y	N	N	Y	Y	N	Y	Y	N	
Western	0728	GW5401	PAC	Filton West Jn No.1 – Patchway Jn No.1	0	40	0	00	Y	N	N	N	N	N	Y	N	Y	Y	N	
