Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	166 RHM	168	170	171	172	175	180	196	220	221	222	Notes
Western	0731	GW700	SWM2	Route Boundary Wales – Severn Tunnel Jn	129	00	149	14	Y	N	Y	N	N	Y	Y	N	Y	Y	N	R1
Western	0731	GW710	NO ELR	Llanwern Works East – Llanwern Works West via BSS (Corus Infrastructure)	153	08	156	03	N	N	N	N	N	N	N	N	N	N	N	R2
Western	0731	GW720	EUB	Network Rail Boundary (Uskmouth) – East Usk Jn	3	07	0	00	N	N	N	N	N	N	N	N	N	N	N	R3
Western	0731	GW730	SHL	Severn Bridge Jn – Craven Arms Jn	0	11	20	01	N	N	R1	N	N	Y	Y	R2	N	N	N	R1 Prohibited between Sutton Bridge Jn and Craven Arms Jn R4 R2 Prohibited Up Goods Loop Jn to Craven Arms Jn
Western	0731	GW730	SHL	Craven Arms Jn – Shelwick Jn	20	01	49	26	N	N	N	N	N	Y	Y	N	N	N	N	R5
Western	0731	GW730	SHL	Shelwick Jn – Site of former Rotherwas Jn	49	26	52	19	R1	N	R2	N	R2 R3	Y	Y	R4	Y	Y	N	R6 Prohibited between Hereford Diesel Depot sidings and Site of Former Rotherwas Jn R7 Class 172/2 and 172/3 prohibited between Hereford Station and Site of former Rotherwas Jn R8 Route prohibited to Class 172/1 R4 ECS only Hereford SB to Site of former Rotherwas Jn
Western	0731	GW730	HDC	Site of former Rotherwas Jn – Site of former Red Hill Jn	0	00	1	74	N	N	N	N	N	Y	Y	N	Y	Y	N	
Western	0731	GW730	HNL1	Site of former Red Hill Jn – Maindee West Jn	1	74	41	66	N	N	R1	N	N	Y	Y	N	Y	Y	N	R1 Prohibited between Site of former Red Hill Jn and Maindee North Jn
Western	0731	GW731	WSJ2	Route Boundary (MD801) (Madeley Jn) – Abbey Foregate Jn	170	46	171	15	N	Y	Y	N	N	Y	N	Y	N	Y	N	
Western	0731	GW731	WSJ2	Abbey Foregate Jn – Crewe Jn	171	15	171	57	N	Y	Y	N	N	Y	R1 R2	R5	N	R3 R4 R5	N	R1 Prohibited between Abbey Foregate Jn and Severn Bridge Jn R2 Prohibited between Shrewsbury and Crew Jn R3 3mph Shrewsbury platforms 3, 4 and 5 with deflated suspension R4 Prohibited Shrewsbury Bay platform 6 R5 Prohibited Shrewsbury Station Howard Street Landing (Loading Dock)
