London-North-Western-North	0989	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-North	0989	NW1009	BHI	Basford Hall Jn	Site of former Sydney Bridge Jn (Independent lines)	Basford Hall Jn – Site of former Sydney Bridge Jn (Independent lines)	156	16	158	76	8	Y	
London-North-Western-North	0989	NW1009	CMP1	Site of former Sydney Bridge Jn	Sandbach South Jn (Independent lines)	Site of former Sydney Bridge Jn – Sandbach South Jn (Independent lines)	158	76	162	28	8	Y	
London-North-Western-North	0989	NW1011	GSG	Gresty Lane Jn	Salop Goods Jn	Gresty Lane Jn – Salop Goods Jn	0	00	0	37	8	Y	
London-North-Western-North	0989	NW1013	CSG	Crewe Sorting Sidings North	Gresty Lane	Crewe Sorting Sidings North – Gresty Lane	157	26	157	47	8	Y	
London-North-Western-North	0989	NW1015	CIL	Salop Goods Jn	Crewe North Jn (Chester Independent lines)	Salop Goods Jn – Crewe North Jn (Chester Independent lines)	157	64	158	18	8	Y	
London-North-Western-North	0989	NW1017	LLI	Salop Goods Jn	Boundary (NW1001) (Crewe Coal Yard Liverpool Independent lines)	Salop Goods Jn – Boundary (NW1001) (Crewe Coal Yard Liverpool Independent lines)	157	71	158	73	8	Y	
London-North-Western-North	0989	NW1019	CHW1/ 2	Acton Grange Jn	Warrington South Jn (Helsby lines)	Acton Grange Jn – Warrington South Jn (Helsby lines)	16	19	17	76	8	Y	
London-North-Western-North	0989	NW1021	WEE	Winwick Jn	Earlestown East Jn	Winwick Jn –Earlestown East Jn	185	49	187	10	8	Y	
London-North-Western-North	0989	NW1021	DSE	Earlestown East Jn	Newton-le- Willows Jn (Electrified section)	Earlestown East Jn – Newton-le- Willows Jn (Electrified section)	14	75	16	19	8	Y	
London-North-Western-North	0989	NW1021	NGJ	Newton-le-Willows Jn	Golborne Jn	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	8	Y	
London-North-Western-North	0989	NW1023	HOB2	Haydock Branch Jn	End of Line	Haydock Branch Jn – End of Line	0	00	0	53	8	Y	
London-North-Western-North	0989	NW1025	IMG	Bamfurlong Sidings Jn	Ince Moss Jn	Bamfurlong Sidings Jn – Ince Moss Jn	0	18	0	78	7	Y	
London-North-Western-North	0989	NW1027	PSR1	Preston South Jn	Preston Docks Branch ELR Change	Preston South Jn – Preston Docks Branch ELR Change	21	39	21	47	8	Y	
London-North-Western-North	0989	NW1027	PSR2	Preston Docks Branch ELR Change	Network Rail Boundary (Ribble Steam Railway)	Preston Docks Branch ELR Change – Network Rail Boundary (Ribble Steam Railway)	0	00	0	40	8	Y	
London-North-Western-North	0989	NW2001	WJL1	NW1001 (Weaver Jn)	Ditton East Jn	NW1001 (Weaver Jn) – Ditton East Jn	174	53	182	67	8	Y	
London-North-Western-North	0989	NW2001	WJL2	Ditton East Jn	Speke East Jn	Ditton East Jn – Speke East Jn	182	67	186	72	8	Y	
London-North-Western-North	0989	NW2001	WJL3	Speke Est Jn	Edge Hill East Jn	Speke Est Jn – Edge Hill East Jn	186	72	191	75	8	Y	
London-North-Western-North	0989	NW2001	WJL4	Edge Hill East Jn	Liverpool Lime Street	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	8	Y	
London-North-Western-North	0989	NW2003	RDB	Runcorn	Network Rail Boundary (Runcorn Dock Branch)	Runcorn – Network Rail Boundary (Runcorn Dock Branch)	0	02	0	69	8	Y	
London-North-Western-North	0989	NW2005	SCR	Speke East Jn	Garston Jn	Speke East Jn – Garston Jn	22	59	23	52	8	Y	
London-North-Western-North	0989	NW2007	AEG	Allerton East Jn	Garston Jn	Allerton East Jn – Garston Jn	0	00	0	28	8	Y	
London-North-Western-North	0989	NW2009	SDJ2	End of Line (Latchford)	Ditton East Jn	End of Line (Latchford) – Ditton East Jn	10	06	18	55	8	Y	
London-North-Western-North	0989	NW2011	WOA1	Walton Old Jn	Arpley Jn	Walton Old Jn – Arpley Jn	0	68	0	00	8	Y	
