London-North-Western-North	0886	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
London-North-Western-North	0886	NW8011	CWK1	Hamilton Square Jn	Change of ELR (Birkenhead Park)	Hamilton Square Jn – Change of ELR (Birkenhead Park)	1	72	3	00	8	R1	R1	N	N	N	N	N	N	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0886	NW8011	CWK2	Change of ELR (Birkenhead Park)	Bidston East Jn	Change of ELR (Birkenhead Park) – Bidston East Jn	3	00	4	40	8	R1	R1	Y	Y	Y	Y	Y	Y	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0886	NW8011	CWK3	Bidston East Jn	Bidston Dee Jn	Bidston East Jn – Bidston Dee Jn	4	40	4	78	8	R1	R1	Y	Y	Y	Y	Y	Y	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0886	NW8011	CWK3	Bidston Dee Jn	West Kirby	Bidston Dee Jn – West Kirby	4	78	10	46	8	R1	R1	Y	Y	Y	Y	Y	Y	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0886	NW8013	MIR2	Canning Street Jn	Rock Ferry	Canning Street Jn – Rock Ferry	1	60	3	42	8	R1	R1	R2	R2	R2	R2	R2	R2	R1 Prohibited unless DC current has been isolated R2 Prohibited between Canning St Jn and 2m 24ch (east of Birkenhead Central)
London-North-Western-North	0886	NW8013	CRR2	Rock Ferry	Hooton South Jn	Rock Ferry – Hooton South Jn	13	43	7	68	8	R1	R1	Y	Y	Y	Y	Y	Y	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0886	NW8015	BEN	Bidston East Jn	New Brighton (New Brighton lines)	Bidston East Jn – New Brighton (New Brighton lines)	4	40	7	18	6	R1	R1	R1	R1	R1	R1	R1	R1	R1 OPPOS applies over Bridge 19 (06m 50ch - 6m 52ch)
London-North-Western-North	0886	NW8017	CCS1/ 2	Network Rail Boundary (Canning Street North)	Rock Ferry South Jn	Network Rail Boundary (Canning Street North) – Rock Ferry South Jn	15	40	13	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9001	MAS	Route Boundary (LN808) (Dore West Jn)	Chinley North Jn	Route Boundary (LN808) (Dore West Jn) – Chinley North Jn	154	20	174	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9001	TTA1	Chinley North Jn	New Mills South Jn	Chinley North Jn – New Mills South Jn	168	39	172	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9001	NMC1	New Mills South Jn	Hazel Grove High Level Jn	New Mills South Jn – Hazel Grove High Level Jn	172	27	177	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9001	HGC	Hazel Grove High Level Jn	Hazel Grove East Jn	Hazel Grove High Level Jn – Hazel Grove East Jn	2	62	2	35	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9001	BEJ	Hazel Grove East Jn (Limit of Electrification)	Edgeley Jn No.1	Hazel Grove East Jn (Limit of Electrification) – Edgeley Jn No.1	2	35	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9003	CYC	Chinley East Jn	Chinley South Jn (Chord Line)	Chinley East Jn – Chinley South Jn (Chord Line)	168	32	167	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9005	CNB1	Chinley North Jn	Chinley South Jn	Chinley North Jn – Chinley South Jn	168	39	167	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0886	NW9005	CNB1	Chinley South Jn	Change of Mileage (Site of Former Peak Forest Jn)	Chinley South Jn – Change of Mileage (Site of Former Peak Forest Jn)	167	56	161	05	8	Y	Y	Y	Y	Y	Y	Y	Y	
