Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1274	LN788	TYC	Thoresby Colliery Jn – Thoresby Colliery	0	00	0	42	7	Y	
London-North-Eastern	1274	LN802	WKC	Welbeck Colliery Jn – Network Rail Boundary (RJB)	0	00	2	63	7	Y	
London-North-Eastern	1274	LN804	TJC1	Route Boundary (LN3201) (Tapton Jn) – Dore South Jn	146	64	153	71	8	Y	
London-North-Eastern	1274	LN804	TJC1	Dore South Jn – Sheffield Station	153	71	158	40	8	R1	R1 Prohibited between the Junction at Queens Road (157m 44ch) and Sheffield South Jn on the Down Main
London-North-Eastern	1274	LN804	TJC1	Sheffield Station – Nunnery Main Line Jn	158	40	158	77	8	Y	
London-North-Eastern	1274	LN804	TJC1	Nunnery Main Line Jn – Site of Former Grimesthorpe Jn	158	77	160	47	8	R1	R1 Prohibited between Nunnery Main Line Jn and Mill Race Jn on the Down Main line
London-North-Eastern	1274	LN804	TJC2	Site of Former Grimesthorpe Jn – Site of Masborough South Jn	160	47	163	74	8	Y	
London-North-Eastern	1274	LN804	TJC3	Site of Former Masborough South Jn – Swinton Jn South	161	77	166	56	8	Y	
London-North-Eastern	1274	LN804	SMJ1	Swinton Jn South – Swinton Jn North	166	56	167	03	8	Y	
London-North-Eastern	1274	LN804	SMJ1	Swinton Jn North – Site of Former Wath Curve Jn	167	03	168	64	8	Y	
London-North-Eastern	1274	LN804	SMJ2	Site of Former Wath Curve Jn – Ferrybridge South Jn	17	15	2	38	9	Y	
London-North-Eastern	1274	LN804	SMJ2	Ferrybridge South Jn – Site of Former Burton Salmon Jn	2	38	0	00	9	Y	
London-North-Eastern	1274	LN804	SMJ3	Site of Former Burton Salmon Jn – Milford Jn	16	69	15	07	9	Y	
London-North-Eastern	1274	LN804	MGW	Milford Jn – Gascoigne Wood SB	7	65	6	27	10	Y	
London-North-Eastern	1274	LN806	CHR	Route Boundary (LN3201) (Tapton Jn) – Masborough Jn	146	64	162	24	8	Y	
